Nom	Description	Adresse	URL	Equipements	Horaire	Type	Superficie	Postes	7j/7	Parking	Services
Co'Office Spot	Unique à Vierzon ! Partagez plus qu'un bureau... Profitez de l'esprit coworking dans une dynamique collective, misez sur les réseaux !Co-office-spot, c'est l'animation, la mise à disposition à ses membres d'un espace de travail et d'un tiers lieu pour favoriser l'échange et le développement d'un réseau.	27 rue du 11 Novembre 1918, 18100 Vierzon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6203/coworking-vierzon-co-office-spot	Internet haut débit//Espace pause	9h00 - 18h00	Coworking	160	44	Non	Oui	Box de confidentialité//Matériel de bureau//Équipement de cuisine
Le Phare	Nous vivons une époque où le milieu du travail est en pleine mutation.De plus en plus de personnes travaillent en indépendant, chez elles.En dehors des lieux publics (café, restaurant,...), peu d’endroits s’offrent à elles pour rencontrer leurs clients, partenaires, ou tout simplement d’autres personnes dans la même situation.Avec la création d’un espace dédié à ces nouvelles méthodes de travail,LE PHARE apporte une solution claire et flexible, dans la lignée des espaces collaboratifs dit de “Coworking”.Il offre aux indépendants et aux entrepreneurs un cadre de travail stimulant, à mi-chemin entre la maison, le bureau et le café, pour leur permettre de rester autonomes sans être isolés.Mais LE PHARE est plus qu’un espace collaboratif. C’est également un lieu de rencontre, d’échange et de partage. Tout au long de l’année, LA GALERIE DU PHARE ouvrira ses portes à la création à travers des expositions, des showcase, des soirées, etc.Nous concevons LE PHARE dans un esprit de cohésion et d’échanges. Chaque coworker est concerné et peut aider à développer les activités de la communauté. Le dynamisme du lieu repose sur la motivation de chacun.Que vous soyez entrepreneur, graphiste, développeur, journaliste, consultant, blogueur, chercheur, … venez nous voir !Notre page Facebook : https://www.facebook.com/lepharelimoges	50 Boulevard Gambetta, 87000 Limoges	https://www.neo-nomade.com/mb-47-bnpp_re/espace/2893/coworking-limoges-le-phare	Internet haut débit	8h00 - 19h00	Coworking		258	Non	Oui	Rangements sécurisés//Téléphones fixe
Pépinières d'entreprises Cap@cités	La Pépinière d'Entreprises Cap@cités est idéalement située au coeur du Parc d'Activités de Cré@Vallée Nord sur l'agglomération de Périgueux, en bordure de l'Autoroute A 89.C'est un site du Grand Périgueux dédié aux jeunes entreprises en phase de création ou de moins de 3 ans d'activité, dans tous les secteurs à une exception près, celui des services à la personne.Elle met également à disposition ses espaces partagés aux entreprises extérieures.	Cré@Vallée Nord - 251, boulevard des Saveurs, 24660 Coulounieix-Chamiers	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6425/pepiniere-coulounieix-chamiers-pepinieres-d-entreprises-cap-cites	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h30 - 17h30	Pépinière	1000	42	Non	Oui	Casier//Parking//Scanner//Tableaux et paper board//Porte-manteau//Écran//Équipement de cuisine//Machine à boisson 0.33€/unité//Café d'accueil 6€/unité//Imprimante 0.05€/unité 0.35€/unité//Matériel de bureau 2€/unité//Visio-conférence 50€/unité
L'Hôte Bureau	A l'Hôte Bureau, vous venez travailler comme chez vous, sauf que vous n'êtes PAS chez vous ! Vous y êtes mieux ... pour y exercer votre activité professionnelle !En plein centre-ville de Blois, nous vous accueillons dans un espace convivial, chaleureux, aux murs en pierre d'origine. Nous croyons au PARTAGE plutôt qu'à la possession, au COLLECTIF plutôt qu'à l'individualisme. Nous vous proposons de mutualiser outils et services (connexion internet, copieurs-scanners A3 et A4, coin gourmand, frigo et micro-onde...) dans un cadre agréable et dédié au travail. Open-space, salle de réunion, cour extérieure, coin détente, mur créatif : autant d'espaces qui sauront vous séduire, pour travailler et développer votre réseau professionnel. Notre salle de réunion se loue et se prête à de multiples possibilités : travail de groupe, séance de réflexion de type brainstorming, conférence, rencontre client, etc. Nous y organisons aussi des expositions et des temps artistiques. Le tout dans un fonctionnement éco-responsable, en accord avec nos valeurs. Alors, à bientôt à l'Hôte Bureau !	2bis rue Pierre de Blois - 1 rue Haute, 41000 Blois	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7093/coworking-blois-l-hote-bureau	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur	9h30 - 18h00	Coworking	100	150	Non	Oui	Table de réunion//Bibliothèque partagée//Trousse partagée//Scan a3 et a4//Paper-board, tableau blanc et feuilles//Ligne de téléphone fixe//Vestiaire//Vidéo-projecteur//Imprimantes a3 et a4 n&b et couleurs 0.1€/unité
Centre d'affaires du Privilège	Bienvenue dans notre espace de travail !Ici, vous trouverez toutes les commodités dont vous aurez besoin pour travailler en toutes tranquillité, seul-e ou à plusieurs.Le Centre d’Affaires du Privilège se compose de 3 salles de réunion, de 3 bureaux et d’une terrasse proposés à la location. Les durées de location sont modulables, pour s’adapter à votre emploi du temps, et sans engagement. Le Groupe Lempereur & Associes a à coeur de vous accueillir dans les meilleurs conditions autant humaine que matériel !Nos collaborateurs sont spécialisés dans l'expertise-comptable, le commissariat aux comptes et le conseils.Nous sommes situés dans un secteur animé et a proximité de tous types de commerce.	225 Route d'Angoulême , 24000 Périgueux	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7433/centre-d-affaires-perigueux-centre-d-affaires-du-privilege	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 17h30	Centre d'affaires		186	Non	Oui	Table de réunion//Imprimante//Matériel de sonorisation//Parking//Vidéo-projecteur//Écran//Accueil dédié//Domiciliation//Mise en place de la salle
Coworking EcoCentre	Espace de travail partagé pour les employés et les travailleurs nomades, le Coworking EcoCentre vous accueille sur le site de l'EcoCentre de Varennes-sur-Allier. Pour travailler (et vous détendre) dans de bonnes conditions vous trouverez chez nous/vous des bureaux disponibles avec casiers, une salle de réunion, un coin détente confortable, une salle à manger, et une cuisine. Vous pourrez profiter de la fibre avec le wifi et d'une imprimante laser couleur. Et pour les plus curieux, le fablab de l'EcoCentre se trouve dans le même bâtiment pour vous permettre de créer ce que vous voulez !	23, rue Marius Courteix, 03150 Varennes-sur-Allier	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7101/coworking-varennes-sur-allier-coworking-ecocentre	Internet haut débit//Une personne à l'accueil//Espace pause//Cuisine	8h30 - 18h00	Coworking	250	130	Non	Oui	Table de réunion//Casier//Imprimante//Parking//Scanner//Tableaux//Équipement de cuisine
L'INKUB NEVERS	C'est à 1h50 de PARISC'est à NEVERSC'est l'INKUBL'INKUB est dédié aux entreprises numériques. Situé à 15 mn du Centre ville et de la Gare SNCF de Nevers (arrêt de bus sur place) - Parking et stationnement gratuit -A l'INKUB, vous trouverez des espaces co-working accueillant jusqu'à 10 personnes, des salles de réunion et des espaces de travail partagés.Cette offre est flexible et s'adapte à votre rythme de travail en proposant des tarifs à la journée, la demi -journée.A disposition : accueil, café, espace détente, connexion haut débit (fibre), ...	Bâtiment 3 Place d'Armes - COBALT - 7 bis rue du 13ème de ligne, 58000 Nevers	https://www.neo-nomade.com/mb-47-bnpp_re/espace/4622/coworking-nevers-l-inkub-nevers	Internet haut débit//Accès handicapé//Cuisine	9h00 - 18h00	Coworking		61	Non	Oui	Infrastructure//Numérique//Appareil numérique
Pépinière d'entreprises	2 Bureaux	3 place de la Gare, 36000 Châteauroux	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5398/centre-d-affaires-chateauroux-pepiniere-d-entreprises		8h30 - 18h00	Centre d'affaires	1365	18	Non	Oui	Petits-déjeuners 4.5€/unité//Photocopies noir & blanc 0.09€/unité
CoWorking Moulins by Connecting Bourbon	1 Espace partagé	1 place de Lattre de Tassigny, 03000 MOULINS	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5414/coworking-moulins-coworking-moulins-by-connecting-bourbon	Accès handicapé//Cuisine	9h00 - 18h00	Coworking	65	15	Non	Oui	Espace détente//Casier individuel//Internet haut débit et wifi gratuit//Imprimantes//Sur réservation (24h avant)//Réception uniquement//En soirée sur demande (1 semaine avant)//Domiciliation sur dossier 100€/unité//Gestion comptable et administrative (sur demande) 0€/unité
LE LAB, Pôle d'entreprises d'Agglopolys	Le Lab propose, en un même lieu, une offre de service complète unique en Loir-et-Cher :•couveuse•pépinière•coworking : 10 postes en espace ouvert +1 bureau coworking •hôtel d’entreprises •2 salles de réunion en location•services mutualisés (reprographie, espace repas, salon)•Fablab	3 rue Roland Garros , 41000 BLOIS	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5473/coworking-blois-le-lab-pole-d-entreprises-d-agglopolys	Internet haut débit//Accès handicapé//Espace pause//Cuisine	8h30 - 17h30	Coworking	50	50	Non	Oui	Casier à clés//Divers matériels de bureaux//Parking//Scanner//2 paperboards//Videoprojecteurs//Accueil physique//Conciergerie//Fablab robert houdin//Formations//Gestion du courrier//Café 0.5€/unité//Thé et tisane 0.5€/unité//Bouteille de 1.5 l 1.5€/unité//Bouteille de 1l 3€/unité//Croissant (artisan boulanger) 1.5€/unité//Imprimante 0.1€/unité
